,Catégorie,Produit,Prix Habituel,Prix,Description
0, Makanan   Bahan Masakan   Minyak & Mentega   Minyak Goreng , Happy Soya Minyak Goreng Refill 1L,Rp 43.000,Rp34.500,"PLU :
20113694"
1, Produk Segar   Es Krim , Wall's Ice Cream Mini Cornetto Unicorn 12X28ml,,Rp35.000,"CARA PENGGUNAAN :
Baik Digunakan Sebelum / Kode Produksi : lihat pada kemasan

CARA PENYIMPANAN :
Simpan pada suhu beku di bawah -18 C

HALAL :
YA

KANDUNGAN ALKOHOL (%) :
0

KOMPOSISI :
Air, Wafer Cone (Mengandung Terigu, Pewarna Sintetik Karmoisin CI.No.14720), Pelapis Cokelat, Saus Stroberi (Mengandung Pewarna Alami Karmin CI.No.75470), Gula, Padatan Susu, Minyak Nabati, Maltodekstrin, Sirup Glukosa, Pengemulsi Nabati, Penstabil Nabati, Perisa (Alami Marshmallow, Sintetik Cotton Candy), Pewarna Sintetik Biru Berlian CI.No.42090

MERK :
WALL'S

NAMA :
UNICORNETTO MINI

OTHER DETAILS :
Es Krim Rasa Marshmallow dan Cotton Candy

TAKARAN PER KEMASAN :
28 ml

TAKARAN PER SERVING :
2

TAKARAN SAJI :
56 ml

PLU :
20106957"
2, Produk Segar   Es Krim   Es Krim Family Size , Wall's Ice Cream Viennetta Choco Vanila 800Ml,,Rp65.000,"CARA PENGGUNAAN :
""Baik Digunakan Sebelum / Kode Produksi : lihat pada kemasan

CARA PENYIMPANAN :
Simpan pada suhu beku di bawah -18 C

HALAL :
YA

KANDUNGAN ALKOHOL (%) :
NON

KOMPOSISI :
""Air, Padatan Susu, Cokelat Pelapis 18% (Mengandung Susu, Whey, Antioksidan Tokoferol dan Asam Askorbat), Gula, Sirup Glukosa Fruktosa, Minyak Nabati, Kakao Bubuk 0.6%, Pengemulsi Nabati (Mengandung Antioksidan Asam Askorbat dan Tokoferol), Saus Cokelat 0.2%, Penstabil Nabati, Perisa Alami & Sintetik Vanila

OTHER DETAILS :
Viennetta Chocolate - Vanilla

TAKARAN PER KEMASAN :
100 ml

TAKARAN PER SERVING :
8

TAKARAN SAJI :
100 ml

PLU :
20103538"
3, Produk Segar   Es Krim   Es Krim Stick & Cup , Wall's Ice Cream Avocado & Mocha 350Ml,,Rp26.300,"PLU :
20100566"
4, Produk Segar   Es Krim   Es Krim Stick & Cup , Wall's Ice Cream Cornetto Junior Strawberry & Vanilla 82Ml,,Rp5.000,"PLU :
20100007"
5, Produk Segar   Es Krim   Es Krim Stick & Cup , Wall's Ice Cream Paddle Pop Choco Lava 56Ml,,Rp3.500,"KOMPOSISI :
Air, krimer kental manis, gula, padatan susu, sirup glukosa, minyak nabati, kakao bubuk, maltodekstrin, pengemulsi nabati, penstabil nabati, perisa sintetik cokelat, pewarna

OTHER DETAILS :
Es susu rasa cokelat dengan saus krimer kental manis

TAKARAN PER KEMASAN :
Sajian perkemasan: 1

TAKARAN PER SERVING :
Energi total 100kkal, energi dari lemak 30kkal, lemak total 3.5g, lemak jenuh 2g, lemak tidak jenuh tunggal 1.5g, lemak tidak jenuh ganda 0g, protein 1g, karbohidrat total 18g, serat pangan 1g, gula 10g, natrium 25mg.

TAKARAN SAJI :
Takaran saji: 56ml

PLU :
20092895"
6, Produk Segar   Es Krim , Wall's Ice Cream Cornetto Junior Black & White 82Ml,,Rp5.000,"KOMPOSISI :
Air, Cone Wafer (Mengandung Tepung Terigu, Lesitin Kedelai, Pewarna Coklat HT CI 20285), Lapisan Cokelat (Mengandung Lesitin Kedelai), Gula Pasir, Padatan Susu (Susu Skim Bubuk, Bubuk Whey ), Saus Cokelat 5% (Mengandung Pengawet Kalium Sorbat), Minyak Nabati, Sirup Glukosa, Butiran Cokelat 2.8% (Mengandung Lesitin Kedelai), Maltodekstrin, Cokelat Bubuk, Penstabil (Nabati) Pengemulsi (Nabati), Perisa Identik Alami (Cokelat Putih, Cokelat, Krim), Pewarna (Karamel IV, Karmin CI 75470, Biru Berlian

OTHER DETAILS :
Cobain serunya es krim dengan harga cuma Rp5.000! Manjakan lidahmu dengan dobel kelezatan dua rasa, cokelat dan cokelat putih! Rasakan juga manisnya taburan choco chips dan lelehan saus cokelat. Akhiri keseruanmu dengan wafer renyah dan coklat diujungnya.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Kalori 270 kkal, lemak total 14 g, lemak jenuh 11 g, karbohidrat total 33 g, gula 20 g

TAKARAN SAJI :
Takaran saji: 82mL

PLU :
20085286"
7, Produk Segar   Es Krim   Es Krim Stick & Cup , Wall's Ice Cream Neopolitana Extra Creamy 350Ml,,Rp24.300,"KOMPOSISI :
Air, gula pasir, padatan susu (bubuk whey, susu skim bubuk), sirup glukosa, minyak nabati, maltodekstrin, coklat bubuk, puree stroberi, penstabil nabati, pengemulsi (nabati), perisa identik alami (vanila, coklat, stroberi), pewarna karmoisin, CI 14720, tartrazin CI 19410, kuning FCF CI 5985. Dapat mengandung kacang kacangan dan protein kedelai.

OTHER DETAILS :
Es krim rasa cokelat, stroberi, dan vanilla. Ciptakan berbagai kreasi es krim bercita rasa cokelat, stroberi, dan vanilla dengan Wall's 3-in-1 Neopolitana Extra Creamy

TAKARAN PER KEMASAN :
Sajian per kemasan: 4

TAKARAN PER SERVING :
Energi total 100kkal, energi dari lemak 40kkal. % AKG: Lemak total 4.5g, lemak jenuh 4g, protein 1g, karbohidrat total 15g, serat pangan 1g, gula 10g, natrium 30mg.

TAKARAN SAJI :
Takaran saji: 100mL

PLU :
20054385"
8, Produk Segar   Es Krim , Wall's Ice Cream Mini Cornetto Disc Tramisu & Dark Chocolate 12X28ml,,Rp33.300,"KOMPOSISI :
Air, cokelat pelapis 30% (mengandung lesitin kedelai), cone wafer (mengandung tepung terigu, lesitin kedelai, pewarna coklat HT CI 20285), gula pasir, padatan susu (bubuk whey, susu skim bubuk), minyak nabati, sirup glukosa, cokelat bubuk, maltodekstrin, pewarna alami (karmin CI 75470, karamel), pewrna biru berlian CI 42090, pemantap nabati), pengemulsi nabati, perisa identik alami cokelat.

OTHER DETAILS :
Nikmati keseruan berbagi dengan Cornetto Mini Disc Tiramisu & Dark Chocolate! Es krim aneka varian rasa tiramisu dan dark chocolate, dengan kepingan coklat diatasnya, dibungkus wafer renyah dan diakhiri dengan ujung coklat yang lezat, dalam 1 kemasan isi 12. Ayo berbagi dengan Cornetto!

TAKARAN PER KEMASAN :
Sajian per kemasan: 12

TAKARAN PER SERVING :
Kalori 70 kkal, lemak total 4 g, lemak jenuh 3.5 g, karbohidrat total 10 g, gula 6 g

TAKARAN SAJI :
Takaran saji: 28mL

PLU :
20042833"
9, Makanan   Bahan Masakan   Minyak & Mentega   Minyak Goreng , Bimoli Minyak Goreng Special Refill 1000Ml,,Rp14.000,"PLU :
10013100"
10, Produk Segar   Es Krim , Wall's Ice Cream Paddle Pop Rainbow Power 55Ml,,Rp3.000,"KOMPOSISI :
Air, Gula pasir, Sirup Glukosa, Minyak Nabati, Padatan Susu (Bubuk Whey, Susu Skim Bubuk ), Maltodekstrin, Pemantap (Nabati), Pengelmusi (Nabati), Perisa Identik Alami Karamel (Mengandung Pewarna Karamel III), Pewarna ( Kamoisin CI 14720, Tartrazin CI 19140, Biru Berlian CI 42090 )

OTHER DETAILS :
Es krim dengan warna-warni pelangi rasa Karamel menyegarkan ini akan mengguncang dunia petualanganmu!

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
kalori 70 kkal, lemak jenuh 4 g, karbohidrat 1 g

TAKARAN SAJI :
Takaran saji: 55ml

PLU :
20035518"
11, Makanan   Sarapan   Selai & Olesan , Ovomaltine Crunchy Cream 230G,Rp 53.000,Rp42.500,"CARA PENGGUNAAN :
Oleskan secara merata Ovomaltine Crunchy Cream pada selembar Roti Tawar, dan siap dihidangkan

CARA PENYIMPANAN :
Simpan ditempat yang sejuk dan kering. Jangan disimpan di lemari es.

KOMPOSISI :
Ovomaltine Bubuk 33%, Ekstrak barley Malt, Susu Skim kental, serum susu kental, 13.3% kako bubuk rendah lemak, gula, fruktosa, mineral, minyak rapeseed, Vitamin A,E,C, thiamin, riboflavin, niasin, B6, asam folat, B12, biotin, asam pantotenat, garam, perisa sintetik vanila, kacang Hazel, pengemulsi nabati, penstabil fosfat, minyak biji bunga matahari.

OTHER DETAILS :
Ovomaltine crunchy cream with malty crunchy pieces & cocoa.

PERHATIAN :
Jauhkan dari sinar matahari langsung.

TAKARAN PER KEMASAN :
11

TAKARAN PER SERVING :
20g

TAKARAN SAJI :
20g

PLU :
20109980"
12, Produk Segar   Aneka Roti   Roti Tawar , Mr.Bread Roti Tawar Potongan Lebih Tebal,,Rp15.500,"CARA PENYIMPANAN :
Disimpan di tempat sejuk

KOMPOSISI :
Tepung Terigu (52,74%), Es, Air, Margarin (Mengandung Pengawet Kalium Sorbat), Pewarna Alami (Kurkumin Cl.75300 dan Ekstrak anato Cl No.75120)), Gula (Mengandung Pengawet Sulfit), Lemak Hewani, Susu Bubuk Full Cream, Ragi, Garam, Pengawet Klasium Propionat, Perlakuan Tepung (Mengandung Antioksidan Asam Askorbat), Pengemulsi Nabati.

PLU :
20117083"
13, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Custard Pisang & Cokelat,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Custard Pisang (mengandung potassium sorbate 0.12%, buah pisang 10%), Pasta Cokelat, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengelmulsi, Susu Skim Bubuk, Garam, Bubuk whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung.

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100666"
14, Produk Segar   Aneka Roti   Roti Manis , Arnon Roti Manis Choco Roll,Rp 7.000,Rp6.000,"CARA PENANGANAN :
Simpan di tempat yang kering (tidak lembab dan tidak terkena sinar matahari langsung)

CARA PENYIMPANAN :
Suhu Ruang

KOMPOSISI :
Tepung Terigu, Gula Pasir, Margarine, Minyak Sayur, Ragi, Telur, Kalsium Propionat, Air, Pasta Cokelat.

OTHER DETAILS :
Roti Lapis Selai Cokelat 60g

PLU :
20099290"
15, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Taro,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Sirup Fruktosa, Tepung Kentang, Susu Kental Manis, Perisa Artifisial (Taro, Vanila), Ragi, Tepung Gluten, Margarin, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN SAJI :
Takaran saji: 50g

PLU :
20094695"
